Capacity,Cost,Event Type,Gold Price,Venue Name,Time,Reserved Extra Pct,Venue Type,VIP Price,General Admission Pct,Date,Bronze Price,Name,Silver Pct,General Admission Price,Fireworks Planned,Event ID,Seats Unavailable Pct,Bronze Pct,VIP Pct,Gold Pct,Fireworks Cost,Silver Price
58000,681500,Sport,26.10,Sun Bowl Stadium,7:05 PM,5,Stadium,30.45,45,9/4/22,18.85,UTEP Football 1,15,14.50,false,1,0,20,5,10,0,21.75
58000,681500,Sport,27.00,Sun Bowl Stadium,7:05 PM,5,Stadium,31.50,45,9/11/22,19.50,UTEP Football 5,15,15.00,true,5,0,20,5,10,17400,22.50
58000,681500,Sport,27.00,Sun Bowl Stadium,7:05 PM,5,Stadium,31.50,45,9/18/22,19.50,UTEP Football 7,15,15.00,false,7,0,20,5,10,0,22.50
58000,681500,Sport,28.80,Sun Bowl Stadium,7:05 PM,5,Stadium,33.60,45,9/25/22,20.80,UTEP Football 11,15,16.00,false,11,0,20,5,10,0,24.00
58000,681500,Sport,32.40,Sun Bowl Stadium,7:05 PM,5,Stadium,37.80,45,10/2/22,23.40,UTEP Football 13,15,18.00,true,13,0,20,5,10,20880,27.00
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,11/22/22,22.10,UTEP Basketball 2,15,17.00,false,15,0,20,5,10,0,25.50
12800,150400,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,10/9/22,19.50,UTEP Basketball 7,15,15.00,true,20,0,20,5,10,3840,22.50
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,11/29/22,22.10,UTEP Basketball 8,15,17.00,true,21,0,20,5,10,4352,25.50
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,10/16/22,22.10,UTEP Basketball 14,15,17.00,false,27,0,20,5,10,0,25.50
12800,150400,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,12/6/22,19.50,UTEP Basketball 15,15,15.00,true,28,0,20,5,10,3840,22.50
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,10/23/22,22.10,UTEP Basketball 16,15,17.00,false,29,0,20,5,10,0,25.50
12800,150400,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,12/13/22,19.50,UTEP Basketball 17,15,15.00,true,30,0,20,5,10,3840,22.50
12800,150400,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,10/30/22,19.50,UTEP Basketball 23,15,15.00,true,36,0,20,5,10,3840,22.50
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,12/20/22,22.10,UTEP Basketball 24,15,17.00,false,37,0,20,5,10,0,25.50
12800,150400,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,11/6/22,19.50,UTEP Basketball 25,15,15.00,true,38,0,20,5,10,3840,22.50
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,12/27/22,22.10,UTEP Basketball 28,15,17.00,true,41,0,20,5,10,4352,25.50
12800,150400,Sport,27.00,Don Haskins Center,6:30 PM,5,Arena,31.50,45,11/13/22,19.50,UTEP Basketball 29,15,15.00,false,42,0,20,5,10,0,22.50
12800,150400,Sport,30.60,Don Haskins Center,7:15 PM,5,Arena,35.70,45,1/3/23,22.10,UTEP Basketball 30,15,17.00,true,43,0,20,5,10,4352,25.50
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,12/9/22,46.25,UTEP Wind Symphony 1,15,18.50,true,45,0,20,5,10,427,70.30
1152,13536,Concert,79.55,Magoffin Auditorium,6:00 PM,5,Auditorium,120.25,45,8/10/23,46.25,UTEP Wind Symphony 3,15,18.50,false,47,0,20,5,10,0,70.30
